domain,unit_id,budget,policy,reconstructor,psnr,ssim,nmse,nfe,wall_seconds,peak_memory_bytes,gpu,source_record_sha256
face,celeba-hq:1051,0.05,adasense_matched,ddrm,33.40446853637695,0.8923551440238953,,1000,12.959541377145797,3943142400,NVIDIA A100 80GB PCIe,88cfd05cbd30712be6539b1b72705bfe0c1a7ee1a18072a0ed9451cfc3ecaf5d
face,celeba-hq:1051,0.05,ads_matched,ddrm,33.24464416503906,0.8886857628822327,,80032,935.4500401443802,36316853760,NVIDIA A100 80GB PCIe,88cfd05cbd30712be6539b1b72705bfe0c1a7ee1a18072a0ed9451cfc3ecaf5d
face,celeba-hq:1051,0.05,cm_spectral_once_k1,ddrm,32.48272705078125,0.8732023239135742,,1,2.4536924711428583,1297763328,NVIDIA A100 80GB PCIe,88cfd05cbd30712be6539b1b72705bfe0c1a7ee1a18072a0ed9451cfc3ecaf5d
face,celeba-hq:1051,0.05,cm_spectral_repeat_k1,ddrm,32.50093460083008,0.873188316822052,,5,8.935734254308045,1299664384,NVIDIA A100 80GB PCIe,88cfd05cbd30712be6539b1b72705bfe0c1a7ee1a18072a0ed9451cfc3ecaf5d
face,celeba-hq:1051,0.05,cm_spectral_repeat_k10,ddrm,32.75728225708008,0.8783574104309082,,50,9.701502108480781,1302023680,NVIDIA A100 80GB PCIe,88cfd05cbd30712be6539b1b72705bfe0c1a7ee1a18072a0ed9451cfc3ecaf5d
face,celeba-hq:1051,0.05,cm_spectral_repeat_k5,ddrm,32.70388412475586,0.875961184501648,,25,9.300104825291783,1302023680,NVIDIA A100 80GB PCIe,88cfd05cbd30712be6539b1b72705bfe0c1a7ee1a18072a0ed9451cfc3ecaf5d
face,celeba-hq:1051,0.05,uniform,ddrm,28.455730438232422,0.7860467433929443,,0,0.9081176300533116,927876608,NVIDIA A100 80GB PCIe,88cfd05cbd30712be6539b1b72705bfe0c1a7ee1a18072a0ed9451cfc3ecaf5d
face,celeba-hq:1051,0.05,variable_density,ddrm,29.67608642578125,0.8106096386909485,,0,1.1150869447737932,930564096,NVIDIA A100 80GB PCIe,88cfd05cbd30712be6539b1b72705bfe0c1a7ee1a18072a0ed9451cfc3ecaf5d
face,celeba-hq:1051,0.1,adasense_matched,ddrm,35.75481414794922,0.9326264262199402,,1000,11.99856303492561,3943142400,NVIDIA A100-SXM4-80GB,d557f00583a4c7a461c0ff23fafa8c0deee7317f5620149190e64ca5b98525ba
face,celeba-hq:1051,0.1,ads_matched,ddrm,35.420997619628906,0.9269006252288818,,80032,858.1010826728307,36316853760,NVIDIA A100-SXM4-80GB,d557f00583a4c7a461c0ff23fafa8c0deee7317f5620149190e64ca5b98525ba
face,celeba-hq:1051,0.1,cm_spectral_once_k1,ddrm,34.7318229675293,0.9115223288536072,,1,2.5970458248630166,1297763328,NVIDIA A100-SXM4-80GB,d557f00583a4c7a461c0ff23fafa8c0deee7317f5620149190e64ca5b98525ba
